运单号,线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点发单量,始发网点万单理赔率,始发网点赔付比例,目的网点发单量,目的网点万单理赔率,目的网点赔付比例,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,是否生鲜商品,生鲜妥投组合类别_编码,始发城市_风险特征,目的城市_风险特征,寄件人_风险特征,收件人_风险特征,始发城市_风险标注均值,目的城市_风险标注均值,寄件人_风险标注均值,收件人_风险标注均值
567,2,0,0,1141.349,146,43,106371,408019,-1,-139103,Suspected Lost,Internal Software,-59828,1586.84,Documents & Bills,-1,Staff,Consigner,318394,22.52427,0.90995,55036,5.670289,0.968423,5,2,4,0,0,0,2,75.50373567911244,47.014223570793376,0.0,0.7710389274392693,0.3,0.1428571428571428,0.0,0.0
568,2,0,0,155.688,164,99,958,97774,-1,-142102,Pickup Error,Internal Software,881408,639.38,Hardware,-1,C,Receiver,51228,7.706712,0.984281,874841,11.00792,0.99746,3,2,9,1,6,0,2,59.72498410518864,39.75074374258253,4.667841920871176,0.0,0.1617647058823529,0.1505376344086021,0.0,0.0
569,2,1,0,6.785,187,1,176522,380533,-1,-61447,未知,Internal Software,1896724,333.73,Home Improvement and Building Material,-1,Not Known,Consigner,1768652,0.0,0.754837,119541,7.997287,0.805736,0,2,10,0,6,0,2,50.57901513935886,69.89628878079544,67.75924776122132,5.5424644728844585,0.1261261261261261,0.12,0.2,0.5
570,2,1,0,0.555,175,178,120054,133280,-1,427676,Damage,Vendor Consultation,80446,672.91,Dried Groceries,-1,Not Known,Consigner,147333,2.490277,0.980233,1256312,14.56011,0.803238,1,6,5,0,2,0,2,110.32680013625952,75.72709977879157,3.001246292129321,0.0,0.3333333333333333,0.2073170731707317,0.0,0.0
571,2,0,0,37.388,256,265,197553,71036,-1,-88649,Suspected Lost,Call,169523,410.88,Pharmaceuticals,0,B,Consigner,20202,4.661974,0.99955,34931,82.73577,0.972033,5,0,15,0,3,0,2,63.02678114229304,47.01000912481557,312.78449282805343,0.0,0.125,0.0,0.2608695652173913,0.0
572,2,0,0,117.555,117,151,222763,22896,-1,427445,未知,Internal Software,469805,164.41,Home Improvement and Building Material,-1,B,Receiver,416917,14.1372,0.967896,334535,2.909423,0.991389,0,2,10,1,5,0,2,57.51283596595224,62.91307713975876,143.506494146642,184.77,0.1052631578947368,0.1176470588235294,0.0,0.0
573,2,0,0,109.903,1,329,227346,362093,-1,427850,Pickup Error,Vendor Consultation,-3654,395.86,Jewelry,-1,B,Consigner,233464,4.372854,0.925169,59360,4.364835,0.970416,3,6,12,0,0,0,2,69.06443164317325,50.90380172087939,93.95808297694902,119.7402355315706,0.1802721088435374,0.5,0.2585987261146497,0.0
574,2,0,0,145.586,207,106,72009,300000,-1,427864,Suspected Lost,Internal Software,309000000,3427.32,Appliances,-1,B,Receiver,4598539,28.09738,0.994446,610000000,13.58627,0.910421,5,2,2,1,6,0,2,74.1529936661414,49.82089121674756,88.98416554029349,163.30068855149273,0.4594594594594595,0.1538461538461538,0.3333333333333333,0.5474358974358975
575,2,0,0,17.021,142,238,210232,234667,-1,-28115,未知,Call,-78560,783.04,Appliances,0,B,Consigner,79386,19.22507,0.889074,56073,8.195337,0.995115,0,0,2,0,0,0,2,91.575345523678,84.51278515195959,139.9140213055044,0.6722621955683944,0.1756756756756756,0.2,0.1481481481481481,0.0
576,5,0,0,252.338,242,99,66685,8331,-1,6933,Pickup Error,Call,372432,1501.27,Miscellaneous Goods,0,Not Known,Receiver,6737,100.9955,0.999991,513142,95.13065,0.959901,3,0,14,1,5,0,2,56.980412292329696,39.75074374258253,7.463209029861409,0.0,0.1,0.1505376344086021,0.0,0.0
577,2,0,0,5.17,145,189,142831,11353,1,427847,Damage,Call,9943,225.36,Alcohol,0,B,Consigner,11237,2.26395,0.96485,979937,0.0,0.96188,1,0,0,0,2,0,2,69.30729146363558,58.29261195317029,,2.171985573996857,0.1590909090909091,0.1521739130434782,,0.0
578,2,1,0,449.381,146,1,199261,300000,1,427864,未知,Call,735000000,1418.71,Home Improvement and Building Material,0,B,Consigner,242562,139.6145,0.994116,172000000,119.5363,0.996565,0,0,10,0,6,0,2,75.50373567911244,69.89628878079544,70.13925554206644,163.30068855149273,0.3,0.12,0.2222222222222222,0.5474358974358975
579,2,0,0,94.693,13,203,23677,284173,-1,-74676,Damage,Call,1424841,146.88,Alcohol,0,Staff,Consigner,13556,18.51485,0.966131,5527,59.36339,0.997555,1,0,0,0,6,0,2,117.72169897217258,73.82922603912272,0.5013326803356659,140.4582859635262,0.2748538011695906,0.25,0.0,0.0
580,2,1,0,36.049,186,57,175660,249642,-1,2499,未知,Internal Software,958235,118.42,Maternity & Baby Products,-1,C,Receiver,8358,5.985871,0.99997,379083,0.0,0.888635,0,2,13,1,6,0,2,26.671001699995884,23.13001228133217,10.692410687253826,9.665886134706197,0.0,0.75,0.0,0.0
581,5,0,0,8.408,211,137,206750,149966,-1,427864,未知,Mini Program,639736,158.77,Alcohol,0,C,Consigner,1293865,0.0,0.988242,1508712,0.0,0.873124,0,4,0,0,6,0,2,95.356323113403,40.54514853954838,29.280215769519717,55.09717264355918,0.1041666666666666,0.1012658227848101,0.0,1.0
582,2,0,0,204.753,99,319,193886,300000,-1,427854,Pickup Error,Call,539000000,2112.36,Miscellaneous Goods,0,B,Unknown,2075007,47.31568,0.994018,4400000000,18.82408,0.920736,3,0,14,3,6,0,2,65.94900544613762,150.86048986331326,183.07850421942743,163.30068855149273,0.211864406779661,0.275,0.2535211267605634,0.5474358974358975
583,2,0,1,63.243,211,3,1030,208538,-1,427824,未知,Call,-47605,298.92,"Apparel, Footwear & Accessories",-1,B,Consigner,338256,27.97002,0.976976,65000,73.29841,0.848277,0,0,1,0,0,0,2,95.356323113403,63.81099393925928,34.99450868258708,0.0,0.1041666666666666,0.1170212765957446,0.5,0.0
584,2,0,0,392.914,193,319,183035,300000,-1,427864,Pickup Error,Call,396000000,4501.5,Fresh,-1,B,Unknown,16293100,13.26742,0.983974,95315144,19.08739,0.989022,3,0,7,3,6,1,1,99.9740257904606,150.86048986331326,78.04631246771224,163.30068855149273,0.2307692307692307,0.275,0.25,0.5474358974358975
585,2,0,0,256.981,134,190,32229,337722,-1,427664,Damage,Call,-30211,1030.87,Appliances,0,B,Consigner,173949,49.92264,0.990495,17003,103.0227,0.979661,1,0,2,0,0,0,2,42.53778943894619,47.29286625931772,0.0,30.198595032762533,0.1538461538461538,0.1052631578947368,0.0,0.25
586,2,0,0,385.519,253,93,214668,299367,-1,139431,未知,Call,-68500,699.39,Documents & Bills,0,B,Consigner,25973,54.4076,0.987141,52102,30.71957,0.997562,0,0,4,0,0,0,2,63.03159537877947,41.18230514125912,13.02378667220046,,0.1228070175438596,0.0357142857142857,0.0,
587,2,0,0,504.308,218,34,183889,300000,-1,427597,Pickup Error,Call,945000000,2751.68,Electronic Product,-1,Not Known,Consigner,14879821,58.89077,0.991863,203000000,112.2719,0.994538,3,0,6,0,6,0,2,45.42517437856351,62.51602380669991,83.80393880479427,163.30068855149273,0.3333333333333333,0.3157894736842105,0.2442307692307692,0.5474358974358975
588,2,1,0,145.182,102,136,209602,300000,-1,427864,未知,Internal Software,725000000,1453.66,Maternity & Baby Products,0,B,Consigner,14614,100.4556,0.988633,7630000000,0.0,0.998897,0,2,13,0,6,0,2,84.99396693620673,153.9090693587367,92.7919306651536,163.30068855149273,0.1518987341772152,0.1428571428571428,0.5909090909090909,0.5474358974358975
589,2,0,0,4.381,151,110,204915,250443,-1,427796,Damage,Call,791137,780.52,Pharmaceuticals,-1,Not Known,Consigner,364811,0.0,0.926494,778485,0.0,0.966013,1,0,15,0,6,0,2,55.000321274151965,63.258594293395895,59.62575890788686,28.693245354250436,0.0828402366863905,0.1219512195121951,0.0,0.0
590,2,0,0,257.231,0,63,49830,298971,-1,40926,Pickup Error,Internal Software,27268,770.18,Miscellaneous Goods,1,C,Consigner,9164,38.64338,0.943342,300607,0.0,0.958594,3,2,14,0,2,0,2,57.22795965470159,52.20261068322199,0.0,0.0,0.1678082191780822,0.2941176470588235,0.0,0.0
591,3,0,0,140.797,190,97,54552,192975,-1,427823,Pickup Error,Call,1083744,1648.08,Appliances,-1,C,Unknown,43165,7.233469,0.999354,116790,21.03342,0.99558,3,0,2,3,6,0,2,73.48402451815683,13.791098319222607,6.046191461751252,97.1959102471162,0.1560693641618497,0.0,0.0,0.25
592,2,0,0,48.572,169,199,211449,300000,-1,347304,Damage,Call,316000000,2791.16,Home Improvement and Building Material,1,B,Consigner,8019863,73.66663,0.986575,5602520,32.54106,0.99849,1,0,10,0,6,0,2,79.91551653024653,65.33437063477945,77.2949522714683,163.30068855149273,0.4285714285714285,0.3513513513513513,0.5384615384615384,0.5474358974358975
593,2,0,0,27.952,142,0,176820,358198,1,427863,Pickup Error,Call,-52994,522.53,Miscellaneous Goods,0,B,Consigner,296010,11.04103,0.962209,1071863,18.20716,0.969291,3,0,14,0,0,0,2,91.575345523678,75.01688402479252,25.94352246299482,421.4185389398872,0.1756756756756756,0.1507692307692307,0.0,0.3333333333333333
594,2,1,0,173.792,318,1,122304,1844,-1,-168974,未知,Vendor Consultation,-73162,959.91,Hardware,-1,B,Consigner,2833313,4.539583,0.618669,1267692,0.0,0.871762,0,6,9,0,0,0,2,101.98257796760824,69.89628878079544,0.0,0.0,0.0869565217391304,0.12,0.0,0.0
595,2,1,0,8.376,305,20,183889,138645,-1,427843,Suspected Lost,Call,319149,738.4,Appliances,-1,B,Receiver,700555,4.493696,0.978664,493394,20.60441,0.988648,5,0,2,1,5,0,2,12.56695782993954,37.02322078222722,83.80393880479427,0.0,0.25,0.1428571428571428,0.2442307692307692,0.0
596,2,0,0,115.4,207,178,215974,300000,-1,427168,Damage,Call,715000000,1776.82,Miscellaneous Goods,0,C,Receiver,13930059,28.8024,0.992193,6060000000,2.808456,0.946109,1,0,14,1,6,0,2,74.1529936661414,75.72709977879157,81.4699013359998,163.30068855149273,0.4594594594594595,0.2073170731707317,0.4375,0.5474358974358975
597,7,1,0,86.859,88,178,227346,120546,1,427819,Damage,Call,110501,127.05,Miscellaneous Goods,0,B,Receiver,71247,189.267,0.952533,14699,66.22009,0.982237,1,0,14,1,3,0,2,116.52863038936586,75.72709977879157,93.95808297694902,0.0,0.0925925925925925,0.2073170731707317,0.2585987261146497,0.0
598,2,1,0,346.72,143,25,208059,218897,-1,427864,未知,Call,-75142,126.1,Alcohol,0,B,Receiver,132761,47.37555,0.982478,93103,57.98478,0.992466,0,0,0,1,0,0,2,38.45695991907031,58.087333342513965,0.0,0.0,0.1136363636363636,0.14,0.0,0.0
599,3,0,0,151.148,110,222,13085,130810,-1,427861,Damage,Call,-23647,2167.52,Household Goods,0,B,Consigner,134803,3.281286,0.961795,389744,47.16523,0.984742,1,0,11,0,0,0,2,110.78491220508148,77.81584876066215,0.0,0.0,0.2539682539682539,0.1598173515981735,0.0,0.0
600,2,0,0,246.277,146,134,173857,120976,-1,159144,Pickup Error,Call,95,550.52,Household Goods,-1,B,Consigner,130380,44.96166,0.89382,21020,54.21555,0.98604,3,0,11,0,2,0,2,75.50373567911244,46.10167247042128,16.543789678460513,44.56020427130762,0.3,0.0869565217391304,0.0,1.0
601,2,0,0,16.827,179,136,181711,65584,-1,427857,未知,Call,-6556,517.89,Dried Groceries,0,C,Receiver,89783,13.87992,0.997343,153571,51.84843,0.994816,0,0,5,1,0,0,2,56.8349237193444,153.9090693587367,72.79076587900117,62.20442571352191,0.1497584541062802,0.1428571428571428,0.0,0.5
602,2,0,0,353.577,146,178,223744,203595,-1,427845,Pickup Error,Mini Program,431561,1060.79,Miscellaneous Goods,0,B,Receiver,42736,19.33562,0.985247,11302,119.3115,0.942406,3,4,14,1,5,0,2,75.50373567911244,75.72709977879157,84.8128817715846,0.0,0.3,0.2073170731707317,0.2727272727272727,0.0
603,2,0,0,804.748,14,23,197856,47928,-1,427806,未知,Call,-79716,493.47,Miscellaneous Goods,0,C,Consigner,111547,88.28591,0.9958,135567,4.526594,0.98877,0,0,14,0,0,0,2,46.7451960537384,61.86596339980573,113.01676336156989,0.0,0.0555555555555555,0.2222222222222222,0.5,0.0
604,2,0,0,853.2,151,14,199576,28587,-1,427859,未知,Call,824411,487.79,Jewelry,0,B,Consigner,151163,85.40805,0.9858,27780,104.0666,0.996747,0,0,12,0,6,0,2,55.000321274151965,62.29691250575112,0.5574316267445077,0.3106756843721366,0.0828402366863905,0.125,0.0,0.0
605,2,0,0,574.981,1,25,216702,357011,-1,-114933,未知,Mini Program,977089,113.36,Hardware,-1,B,Consigner,282422,91.3405,0.995172,732626,1.461139,0.974748,0,4,9,0,6,0,2,69.06443164317325,58.087333342513965,26.27265531001053,4.47167453651448,0.1802721088435374,0.14,0.6666666666666666,0.0
606,2,0,0,237.872,101,199,15877,30661,-1,427852,未知,Call,279168,2403.56,Home Improvement and Building Material,0,C,Receiver,744957,0.0,0.988102,854365,1.921892,0.923516,0,0,10,1,5,0,2,94.6704948186992,65.33437063477945,46.97040480882532,,0.2333333333333333,0.3513513513513513,0.1827956989247312,
607,2,0,1,102.452,146,152,183889,300000,-1,427843,Pickup Error,Call,975000000,2823.94,Maternity & Baby Products,0,B,Consigner,36233909,8.413544,0.972713,1393361,2.904744,0.927308,3,0,13,0,6,0,2,75.50373567911244,64.80066655532329,83.80393880479427,163.30068855149273,0.3,0.1458333333333333,0.2442307692307692,0.5474358974358975
608,2,0,0,45.538,155,3,15877,419445,1,427744,未知,Internal Software,1325697,2601.95,Furniture,-1,B,Consigner,49538,81.45291,0.997928,474328,27.54193,0.982771,0,2,8,0,6,0,2,26.409335201957536,63.81099393925928,46.97040480882532,0.0,0.1666666666666666,0.1170212765957446,0.1827956989247312,0.0
609,2,0,0,274.132,125,0,15877,355607,-1,137412,未知,Call,56438,447.65,Hardware,0,C,Consigner,520,53.96283,0.997988,123506,7.90569,0.995002,0,0,9,0,2,0,2,70.23909957621414,75.01688402479252,46.97040480882532,0.0,0.0793650793650793,0.1507692307692307,0.1827956989247312,0.0
610,2,0,0,1675.552,187,133,220883,343424,-1,427794,未知,Call,874100,666.76,Dried Groceries,-1,B,Consigner,1412,70.84823,0.992054,36329,183.3468,0.915406,0,0,5,0,6,0,2,50.57901513935886,67.74347839244929,135.84925416861563,41.668841488709965,0.1261261261261261,0.1929824561403508,0.1,0.0
611,3,0,0,1100.732,15,215,135223,358703,-1,427851,Damage,Vendor Consultation,-79688,352.89,Dried Groceries,-1,B,Receiver,318671,20.58093,0.97294,625276,8.802971,0.951314,1,6,5,1,0,0,2,80.35899212714475,76.55751163645215,32.78037724813569,0.0,0.0909090909090909,0.1515151515151515,0.0,0.0
612,2,0,0,1.964,218,99,162743,384484,-1,427857,Pickup Error,Call,616111,1119.05,Fresh,0,B,Unknown,2810,0.0,0.986869,899095,20.03062,0.961118,3,0,7,3,6,1,1,45.42517437856351,39.75074374258253,3.7873864559486,234.0,0.3333333333333333,0.1505376344086021,0.0,1.0
613,6,0,1,0.0,151,132,72009,421262,-1,427842,未知,Call,591986,298.08,Beauty & Daily Essentials,-1,B,Consigner,629983,12.15674,0.981574,254918,35.04275,0.996661,0,0,3,0,5,0,2,55.000321274151965,56.88193748364041,88.98416554029349,0.0,0.0828402366863905,0.1636363636363636,0.3333333333333333,0.0
614,2,1,0,8.174,78,88,166513,336568,-1,427815,未知,Call,493910,344.97,Dried Groceries,-1,C,Receiver,1110801,7.132277,0.990503,523291,2.388219,0.997728,0,0,5,1,5,0,2,2.015461461026643,79.74310528281981,1.036307569879638,0.0,0.0,0.2061855670103092,0.0,0.0
615,1,0,0,91.981,137,5,87215,323756,0,427864,Damage,Call,55791,290.37,Jewelry,-1,C,Consigner,1923124,2.663297,0.937114,35216,0.46258,0.968432,1,0,12,0,2,0,2,58.18470170477054,79.69800837324867,14.12056817609566,0.3047609633587591,0.1707317073170731,0.0526315789473684,0.0,0.0
616,3,1,0,2.034,146,178,215140,86952,-1,103134,Pickup Error,Call,395904,1066.75,"Apparel, Footwear & Accessories",0,C,Consigner,420285,1.692036,0.999981,658472,12.54572,0.952888,3,0,1,0,5,0,2,75.50373567911244,75.72709977879157,65.58547197175105,118.646977478665,0.3,0.2073170731707317,1.0,0.0
617,2,0,0,60.303,98,107,15877,331721,-1,427856,未知,Call,786481,329.76,Miscellaneous Goods,-1,B,Consigner,360872,96.09747,0.973699,360855,11.70597,0.887942,0,0,14,0,6,0,2,53.41855203788262,103.77469026595364,46.97040480882532,33.981858473170675,0.1363636363636363,0.1846153846153846,0.1827956989247312,0.0
618,2,1,0,18.976,14,102,179508,318886,-1,-44256,未知,Internal Software,534906,446.06,Documents & Bills,-1,Not Known,Consigner,98786,12.61001,0.966192,605120,55.70314,0.994982,0,2,4,0,5,0,2,46.7451960537384,127.44248338763862,0.0,16.72785580006635,0.0555555555555555,0.1789473684210526,0.0,0.0
619,2,1,0,705.013,220,120,196994,156068,-1,48323,Pickup Error,Call,2428274,702.3,Pharmaceuticals,-1,C,Consigner,93377,29.33888,0.949994,1473,44.54086,0.98552,3,0,15,0,6,0,2,72.30195311537067,58.82366816997872,,,0.1304347826086956,0.2352941176470588,,
620,2,0,0,0.0,107,132,118759,27534,-1,-1195,未知,Call,1009928,137.4,Hardware,-1,C,Receiver,35013,6.734071,0.965909,372279,1.04018,0.996135,0,0,9,1,6,0,2,69.59539401792847,56.88193748364041,0.0,0.0,0.135593220338983,0.1636363636363636,0.0,0.0
621,2,0,0,28.901,88,282,62085,403864,-1,427864,未知,Mini Program,1238253,681.88,Furniture,0,C,Consigner,4283,17.94826,0.962831,249071,45.61903,0.988579,0,4,8,0,6,0,2,116.52863038936586,79.92843650699533,0.0,0.0,0.0925925925925925,0.1,0.0,0.0
622,2,0,0,0.0,55,268,92749,4373,-1,427861,未知,Call,-48359,155.67,Alcohol,-1,B,Consigner,1348499,14.0816,0.937135,860688,0.487764,0.995346,0,0,0,0,0,0,2,35.60364621033194,130.15540902762945,1.5742620773705278,0.0,0.1212121212121212,0.2727272727272727,0.0,0.0
623,2,0,0,22.728,222,137,129800,182765,0,427842,Damage,Call,1445,150.94,Miscellaneous Goods,-1,B,Receiver,232614,68.12483,0.944776,14502,52.43452,0.999145,1,0,14,1,2,0,2,44.00935888510234,40.54514853954838,1.7303130618612097,0.0,0.173469387755102,0.1012658227848101,0.0,0.0
624,2,0,0,102.553,145,243,227346,415859,-1,427863,未知,Vendor Consultation,255526,785.65,Furniture,-1,B,Consigner,258124,2.822222,0.968288,91132,120.3718,0.97805,0,6,8,0,4,0,2,69.30729146363558,61.478185686911466,93.95808297694902,0.9145341977164654,0.1590909090909091,0.0625,0.2585987261146497,0.5
625,2,0,0,21.882,246,214,210232,129408,-1,427863,未知,Call,-26435,165.32,Pharmaceuticals,0,Staff,Receiver,9,78.06732,0.997323,631069,0.0,0.953067,0,0,15,1,0,0,2,87.28839398654806,3.584323334857046,139.9140213055044,,0.1666666666666666,0.2857142857142857,0.1481481481481481,
626,2,0,0,102.431,246,193,191866,79828,-1,9260,Pickup Error,Internal Software,-65661,1194.16,Beauty & Daily Essentials,0,C,Receiver,1438567,0.0,0.803089,133475,17.80731,0.992559,3,2,3,1,0,0,2,87.28839398654806,27.46228828491764,,4.917524712125787,0.1666666666666666,0.217391304347826,,0.25
627,2,0,0,138.16,12,34,227346,212933,-1,60080,Pickup Error,Call,1412249,1409.24,Fresh,-1,C,Receiver,2715,3.335682,0.990543,113092,7.649876,0.9786,3,0,7,1,6,1,1,59.94601001535578,62.51602380669991,93.95808297694902,27.166156982670746,0.2666666666666666,0.3157894736842105,0.2585987261146497,0.0
628,2,0,0,14.776,110,63,227346,90025,-1,427842,未知,Call,251838,100.21,Miscellaneous Goods,0,C,Receiver,43130,42.47133,0.995267,483357,3.070244,0.934462,0,0,14,1,4,0,2,110.78491220508148,52.20261068322199,93.95808297694902,0.0,0.2539682539682539,0.2941176470588235,0.2585987261146497,0.0
629,5,0,0,0.0,151,1,165214,402212,-1,427796,Suspected Lost,Internal Software,272462,234.32,Miscellaneous Goods,0,C,Consigner,901472,0.0,0.97788,3444940,0.0,0.985762,5,2,14,0,5,0,2,55.000321274151965,69.89628878079544,20.50731966994943,112.7653165952468,0.0828402366863905,0.12,0.0,0.0
630,2,0,0,53.935,25,3,74967,257563,-1,53370,未知,Call,-20467,1131.12,Household Goods,-1,B,Consigner,528325,1.465638,0.882195,290983,28.99569,0.973411,0,0,11,0,0,0,2,88.8237010925776,63.81099393925928,0.0,0.0,0.1843137254901961,0.1170212765957446,0.0,0.0
631,2,1,0,0.0,261,37,221060,274426,-1,-12362,Damage,Call,226960,201.5,Hardware,0,B,Unknown,126865,24.57452,0.997884,615372,0.0,0.984644,1,0,9,3,4,0,2,21.984869906697988,71.26297526452987,568.6122125297383,0.0,0.5,0.2033898305084746,0.0,0.0
632,2,0,0,15.925,2,178,33197,41229,-1,427742,未知,Call,-81031,630.34,Miscellaneous Goods,0,B,Consigner,961810,38.07179,0.974803,555091,111.1954,0.998724,0,0,14,0,0,0,2,56.04468495785089,75.72709977879157,0.0,0.0,0.0935960591133004,0.2073170731707317,0.0,0.0
633,2,0,0,238.813,210,343,227346,102098,-1,-126292,未知,Call,979000000,2019.41,Dried Groceries,-1,B,Consigner,2608522,108.8362,0.9967,487000000,10.09193,0.993885,0,0,5,0,6,0,2,36.96542033785124,140.5540846324199,93.95808297694902,82.94170936782488,0.0,0.4761904761904761,0.2585987261146497,0.4
634,5,1,0,62.244,2,137,175660,38904,-1,59557,Suspected Lost,Call,575601,151.54,Furniture,0,B,Consigner,955,34.23782,0.997701,83980,0.0,0.98929,5,0,8,0,5,0,2,56.04468495785089,40.54514853954838,10.692410687253826,12.905043875294284,0.0935960591133004,0.1012658227848101,0.0,0.0
635,2,0,0,98.427,38,0,227346,300000,-1,427864,未知,Mini Program,245000000,1538.14,Beauty & Daily Essentials,0,C,Consigner,85705689,1.163507,0.999133,335000000,2.651103,0.931762,0,4,3,0,6,0,2,83.3897689719621,75.01688402479252,93.95808297694902,163.30068855149273,0.3442622950819672,0.1507692307692307,0.2585987261146497,0.5474358974358975
636,1,0,0,3.442,93,178,183889,191208,-1,427810,未知,Call,496853,117.31,Home Improvement and Building Material,0,B,Consigner,659092,0.0,0.957857,207634,1.488805,0.973251,0,0,10,0,5,0,2,66.74115822236953,75.72709977879157,83.80393880479427,131.2599763328134,0.1304347826086956,0.2073170731707317,0.2442307692307692,0.0
637,2,0,0,584.196,64,152,212182,211546,-1,427864,Damage,Call,304204,1102.28,Furniture,0,Not Known,Consigner,72012,55.73139,0.98961,44331,78.34387,0.999685,1,0,8,0,5,0,2,29.26462912623248,64.80066655532329,62.71522772083796,0.4365899117732442,0.2142857142857142,0.1458333333333333,0.5833333333333334,0.0
638,2,1,0,109.028,42,127,219467,393473,-1,427786,未知,Call,-9419,729.54,Home Improvement and Building Material,0,C,Consigner,184901,40.3855,0.968551,4544,70.40334,0.999658,0,0,10,0,0,0,2,106.19017586084024,63.45537171576693,0.0,33.71581043871142,0.145631067961165,0.2325581395348837,0.0,0.0
639,2,0,0,92.684,6,276,227346,141926,-1,-160437,未知,Call,-70790,609.58,Electronic Product,-1,Not Known,Consigner,1322886,77.3505,0.990749,125748,15.85996,0.870847,0,0,6,0,0,0,2,32.29956245158629,10.135786229263095,93.95808297694902,0.0,0.0555555555555555,0.0,0.2585987261146497,0.0
640,2,1,0,5.644,102,190,185696,301946,1,427863,未知,Call,13839,372.49,Alcohol,0,B,Receiver,1028211,39.15081,0.959589,273154,18.02258,0.999134,0,0,0,1,2,0,2,84.99396693620673,47.29286625931772,15.894726175651249,6.981497522544465,0.1518987341772152,0.1052631578947368,0.0,0.2857142857142857
641,2,0,0,200.32,48,151,73319,108526,-1,35113,Suspected Lost,Call,101346,288.87,Documents & Bills,0,B,Receiver,951875,2.866999,0.922429,578876,5.701352,0.970378,5,0,4,1,3,0,2,57.93111130768895,62.91307713975876,0.0,2.7555807875230305,0.25,0.1176470588235294,0.0,0.0
642,5,0,0,406.036,42,136,104302,151924,-1,427713,Damage,Call,-7236,228.26,Miscellaneous Goods,0,B,Receiver,84047,71.5082,0.992851,88947,6.39026,0.915727,1,0,14,1,0,0,2,106.19017586084024,153.9090693587367,0.444877320471472,,0.145631067961165,0.1428571428571428,0.0,
643,2,0,0,69.964,49,146,49139,406423,-1,21411,Damage,Call,363528,1845.84,Household Goods,0,C,Consigner,899501,23.1441,0.99456,63240,54.9338,0.973952,1,0,11,0,5,0,2,42.30040028980651,100.44850004559429,,10.971941843251152,0.4666666666666667,0.1071428571428571,,0.0
644,2,1,0,162.852,194,11,127520,306491,-1,427807,未知,Call,-80173,1841.09,Fresh,-1,C,Consigner,27795,2.053962,0.993231,768540,70.4051,0.94438,0,0,7,0,0,1,1,149.3218894878137,31.253102632101324,274.769866705464,0.0,0.375,0.0476190476190476,0.0,0.0
645,2,1,0,118.694,187,133,183889,202819,-1,427861,未知,Call,-21263,995.51,Dried Groceries,0,B,Unknown,143068,7.61162,0.99891,288815,0.290718,0.939189,0,0,5,3,0,0,2,50.57901513935886,67.74347839244929,83.80393880479427,4.87082313727548,0.1261261261261261,0.1929824561403508,0.2442307692307692,0.0
646,2,0,1,44.512,132,181,184209,300000,-1,427864,Damage,Call,747000000,1477.78,Miscellaneous Goods,-1,B,Consigner,780018,0.0,0.972105,73552086,21.98424,0.936655,1,0,14,0,6,0,2,52.70819341651338,45.1926466370765,207.5233372303657,163.30068855149273,0.2071428571428571,0.2325581395348837,0.4375,0.5474358974358975
647,2,1,0,215.041,43,98,203720,438250,-1,3257,Suspected Lost,Call,380669,941.38,Hardware,-1,B,Consigner,29988,0.0,0.965965,687425,0.0,0.918527,5,0,9,0,5,0,2,71.58077320943575,65.32592348952949,1.5496407977121611,68.30064438722172,0.075,0.0638297872340425,0.0,0.0
648,2,0,1,56.097,241,94,88308,18342,1,427864,未知,Internal Software,-80592,1028.36,Miscellaneous Goods,-1,C,Consigner,195354,1.893855,0.994844,145350,40.2317,0.997957,0,2,14,0,0,0,2,143.11707551916317,36.228085028893005,2.79719111646132,2.602362305160846,0.4285714285714285,0.25,0.0,1.0
649,2,1,0,88.916,1,298,95055,183010,-1,427843,未知,Call,153022,483.45,Pharmaceuticals,-1,B,Consigner,27947,29.28421,0.945413,457730,41.45416,0.947157,0,0,15,0,3,0,2,69.06443164317325,14.527090133859522,4.9171806353379575,13.89251990994321,0.1802721088435374,0.0,0.0,0.0
650,2,1,0,149.469,270,137,179544,96962,-1,427864,未知,Mini Program,37216,441.69,Jewelry,-1,Not Known,Receiver,38669,15.39527,0.99173,56839,23.03414,0.989136,0,4,12,1,2,0,2,3.568973830235347,40.54514853954838,15.220344705991334,0.0,0.3333333333333333,0.1012658227848101,0.0,0.0
651,2,0,0,478.978,137,125,20262,391645,-1,427715,未知,Call,-74506,358.9,Electronic Product,-1,C,Unknown,52751,64.61929,0.961218,1202709,15.63623,0.851987,0,0,6,3,0,0,2,58.18470170477054,73.66751450015366,2.541776585024819,,0.1707317073170731,0.1523809523809524,0.0,
652,2,0,0,110.41,100,140,2473,128007,-1,-13206,未知,Call,298617,800.39,Hardware,-1,B,Consigner,50586,7.721653,0.990572,21354,28.15662,0.974624,0,0,9,0,5,0,2,57.27817095022288,32.04443699722811,3.281920667838959,0.0,0.1162790697674418,0.1515151515151515,0.0,0.0
